model,n_qubits,coupling_j,field_h,total_time,method,resolution,gate_proxy,spectral_error,trace_fidelity
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,suzuki2,2,6,0.9109986951613287,0.7239771458352133
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,suzuki2,4,12,0.17081103599420178,0.9901777875012846
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,cartan_restricted,1,3,1.5229754517308238,0.33324110382813005
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,cartan_restricted,2,6,1.5229754517308234,0.3332411038281303
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,cartan_restricted,4,12,1.5229754517308238,0.3332411038281308
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,lc_qaoa,1,3,1.9926149275461518,0.027234889941261376
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,lc_qaoa,2,6,1.9622781356293897,0.013733070760627863
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,lc_qaoa,4,12,0.7144937077734023,0.8284947683670392
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,alt_qaoa_fit,1,2,1.5506366245555336,0.2799233216020574
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,alt_qaoa_fit,2,4,1.3342784160452044,0.5294491755146034
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,alt_qaoa_fit,4,8,0.14647689129130798,0.993833687322399
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,prl_cartan_fit,1,7,1.5229754648324416,0.3332410926165218
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,prl_cartan_fit,2,13,1.522975461646246,0.3332410953430854
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,prl_cartan_fit,4,25,1.522975463843542,0.33324109346276837
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,cartan_qaoa_fit,1,7,1.5178150513308493,0.3379546403626454
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,cartan_qaoa_fit,2,13,1.517815051259886,0.33795464043641704
TFIM_4q_J1.0_h0.5,4,1.0,0.5,2.0,cartan_qaoa_fit,4,25,1.517815051437059,0.3379546402522363
